30347,NULL,121,scissors,tie,0,100,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30349,UP,122,rock,loss,-1,100,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30351,DOWN,123,scissors,win,3,99,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30353,DOWN,124,paper,win,3,102,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30355,STAY,125,paper,tie,0,105,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30357,DOWN,126,rock,win,3,105,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30359,STAY,127,rock,win,3,108,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30361,STAY,128,rock,win,3,111,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30363,DOWN,129,scissors,tie,0,114,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30365,STAY,130,scissors,win,3,114,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30367,DOWN,131,paper,loss,-1,117,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30369,UP,132,scissors,tie,0,116,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30371,UP,133,rock,win,3,116,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30373,UP,134,paper,tie,0,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30375,DOWN,135,rock,tie,0,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30377,DOWN,136,scissors,tie,0,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30379,DOWN,137,paper,tie,0,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30381,UP,138,scissors,loss,-1,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30383,UP,139,rock,win,3,118,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30385,STAY,140,rock,loss,-1,121,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30387,DOWN,141,scissors,loss,-1,120,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30389,DOWN,142,paper,loss,-1,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30391,DOWN,143,rock,win,3,118,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30393,DOWN,144,scissors,loss,-1,121,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30395,DOWN,145,paper,loss,-1,120,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30397,DOWN,146,rock,loss,-1,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30399,UP,147,paper,win,3,118,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30401,STAY,148,paper,loss,-1,121,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30403,DOWN,149,rock,loss,-1,120,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30405,STAY,150,rock,tie,0,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30407,STAY,151,rock,win,3,119,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30409,DOWN,152,scissors,win,3,122,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30411,DOWN,153,paper,win,3,125,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30413,DOWN,154,rock,win,3,128,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30415,DOWN,155,scissors,win,3,131,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30417,DOWN,156,paper,tie,0,134,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30419,STAY,157,paper,tie,0,134,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30421,UP,158,scissors,tie,0,134,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30423,UP,159,rock,loss,-1,134,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30425,DOWN,160,scissors,loss,-1,133,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30427,UP,161,rock,win,3,132,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30429,UP,162,paper,tie,0,135,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30431,STAY,163,paper,win,3,135,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30433,DOWN,164,rock,win,3,138,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30435,DOWN,165,scissors,tie,0,141,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30437,DOWN,166,paper,tie,0,141,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
30439,STAY,167,paper,win,3,141,6f820546-bfa6-4365-973f-ece56a7631ee63e048b8-bad2-473d-ab12-3516610d3230
